Meno	Kraj	Nadm.vyska (m.n.m.)	GPS	Rozloha (km2)	Obyvatelstvo	Hustota obyv. (obyv./km2)	PSC	SUJ	ECV	TEL
Inovce	Košický kraj	495	48.823333°S 22.357500°V	10,59	216	20,4	072 64 	522520	SO	+421-56	
Iňa	Nitriansky kraj	171	48.1722°S 18.4179°V	5,68	199	35,04	935 35 	502359	LV	+421-36	
Iňačovce	Košický kraj	103	48.6983°S 22.0290°V	17,35	738	42,54	072 11 	522511	MI	+421-56	
Ipeľské Predmostie	Banskobystrický kraj	133	48.0636°S 19.0573°V	13,83	630	45,55	991 10 	516074	VK	+421-47	
Ipeľské Úľany	Nitriansky kraj	332	48.1257°S 19.0511°V	15,68	287	18,3	935 82 	502367	LV	+421-36	
Ipeľský Sokolec	Nitriansky kraj	120	48.0174°S 18.8057°V	18,15	843	46,45	935 75	502375	LV	+421-36	
Istebné	Žilinský kraj	501	49.2118°S 19.2215°V	11,29	1 354	119,93	027 53	509701	DK	+421-43	
Ivachnová	Žilinský kraj	512	49.0936°S 19.4083°V	5,89	552	93,72	034 83 	507300	RK	+421-44	
Ivančiná	Žilinský kraj	455	48.9114°S 18.8111°V	3,54	97	27,4	038 45 	512303	TR	+421-43	
Ivanice	Banskobystrický kraj	168	48.3282°S 20.2367°V	5,6	264	47,14	980 42 	514985	RS	+421-47	
Ivanka pri Dunaji	Bratislavský kraj	130	48.183333°S 17.250000°V	14,26	6 087	426,86	900 28	507938	SC	+421-2	
Ivanka pri Nitre	Nitriansky kraj	140	48.233333°S 18.116667°V	14,91	2 455	164,65	951 12	558320	NR	+421-37	
Ivanovce	Trenčiansky kraj	197	48.8304°S 17.9046°V	15,08	931	61,74	913 05 	506095	TN	+421-32	
Iža	Nitriansky kraj	111	47.7495°S 18.2257°V	28,02	1 638	58,46	946 39	501174	KN	+421-35	
Ižipovce	Žilinský kraj	598	49.1404°S 19.4912°V	2,64	91	34,47	032 23 	556807	LM	+421-44	
Ižkovce	Košický kraj	100	48.5561°S 21.9531°V	4,22	102	24,17	076 72 	528391	MI	+421-56	
Jablonec	Bratislavský kraj	160	48.332778°S 17.448889°V	8,7	920	105,75	900 86 	507946	PK	+421-33	
Jablonica	Trnavský kraj	209	48.608056°S 17.420000°V	31,44	2 238	71,18	906 32	504416	SE	+421-34	
Jablonka	Trenčiansky kraj	290	48.724722°S 17.609722°V	12,59	479	38,05	906 21	504424	MY	+421-34	
Jablonov	Prešovský kraj	480	49.0174°S 20.7192°V	20,53	997	48,56	053 03	543179	LE	+421-53	
Jablonov nad Turňou	Košický kraj	480	48.5933°S 20.6729°V	24,46	789	32,26	049 43	525782	RV	+421-58	
Jablonové	Bratislavský kraj	229	48.348514°S 17.096400°V	13,18	1 177	89,3	900 54	507954	MA	+421-34	
Jablonové	Žilinský kraj	340	49.1829°S 18.5649°V	4,23	875	206,86	013 52 	517631	BY	+421-41	
Jabloň	Prešovský kraj	206	49.0660°S 21.9798°V	11,86	419	35,33	067 13 	520276	HE	+421-57	
Jabloňovce	Nitriansky kraj	283	48.3170°S 18.7891°V	34,69	200	5,77	935 06	502383	LV	+421-36	
Jacovce	Nitriansky kraj	194	48.593000°S 18.134000°V	10,01	1 754	175,22	956 21	556157	TO	+421-38	
Jahodná	Trnavský kraj	114	48.050000°S 17.702778°V	15,69	1 527	97,32	930 21	501654	DS	+421-31	
Jaklovce	Košický kraj	325	48.8738°S 20.9926°V	17,25	1 890	109,57	055 61	543187	GL	+421-53	
Jakovany	Prešovský kraj	507	49.1540°S 21.0714°V	4,88	343	70,29	083 01 	524557	SB	+421-51	
Jakubany	Prešovský kraj	615	49.2466°S 20.6949°V	65,71	2 708	41,21	065 12	526762	SL	+421-52	
Jakubov	Bratislavský kraj	154	48.414253°S 16.926603°V	20,86	1 590	76,22	900 63	507962	MA	+421-34	
Jakubova Voľa	Prešovský kraj	375	49.116667°S 21.016667°V	5,77	416	72,1	082 56 	524565	SB	+421-51	
Jakubovany	Žilinský kraj	715	49.1031°S 19.7248°V	9,11	404	44,35	032 04 	510505	LM	+421-44	
Jakubovany	Prešovský kraj	400	49.107222°S 21.142500°V	10,81	942	87,14	083 01 	524573	SB	+421-51	
Jakušovce	Prešovský kraj	265	49.1559°S 21.7509°V	5,5	46	8,36	090 31 	527343	SP	+421-54	
Jalová	Prešovský kraj	350	49.038889°S 22.236667°V	2,79	75	26,88	067 61 	520284	SV	+421-57	
Jalovec	Trenčiansky kraj	340 – 360	48.771389°S 18.744444°V	6,02	582	96,68	972 31 	557714	PD	+421-46	
Jalovec	Žilinský kraj	692	49.1362°S 19.6295°V	20,18	293	14,52	032 21 	510513	LM	+421-44	
Jalšové	Trnavský kraj	180	48.507500°S 17.829722°V	9,33	503	53,91	922 31 	507130	HC	+421-33	
Jalšovík	Banskobystrický kraj	348	48.3135°S 19.1153°V	5,96	194	32,55	962 41 	518484	KA	+421-45	
Jamník	Žilinský kraj	700	49.071658°S 19.709725°V	45,98	475	10,33	033 01 	510521	LM	+421-44	
Jamník	Košický kraj	460	48.9436°S 20.6638°V	8,14	1 151	141,4	053 22 	543195	SN	+421-53	
Janice	Banskobystrický kraj	171	48.2788°S 20.2142°V	8,59	225	26,19	980 42 	514993	RS	+421-47	
Janík	Košický kraj	188	48.5544°S 20.9725°V	19,87	606	30,5	044 05	521485	KS	+421-55	
Janíky	Trnavský kraj	125	48.140556°S 17.395000°V	11,34	892	78,66	930 39 	501662	DS	+421-31	
Jankovce	Prešovský kraj	178	49.0579°S 21.7981°V	5,69	271	47,63	067 24 	520292	HE	+421-57	
Janov	Prešovský kraj	294	48.9386°S 21.1782°V	4,72	311	65,89	082 42 	524581	PO	+421-51	
Janova Lehota	Banskobystrický kraj	422	48.659167°S 18.783056°V	17,67	923	52,24	966 24	516872	ZH	+421-45	
Janovce	Prešovský kraj	370	49.1906°S 21.3039°V	5,55	426	76,76	086 41 	519294	BJ	+421-45	
Jánovce	Trnavský kraj	120	48.176667°S 17.530833°V	3,59	486	135,38	925 22 	503827	GA	+421-31	
Jánovce	Prešovský kraj	579	49.0176°S 20.4296°V	9,68	1 537	158,78	059 13	523542	PP	+421-52	
Janovík	Prešovský kraj	220	48.8361°S 21.2857°V	2,39	273	114,23	082 03 	524590	PO	+421-51	
Jarabá	Banskobystrický kraj	823	48.8900°S 19.6886°V	15,39	45	2,92	977 01 	508691	BR	+421-48	
Jarabina	Prešovský kraj	587	49.3348°S 20.6561°V	22,9	907	39,61	065 31	526771	SL	+421-52	
Jarok	Nitriansky kraj	151	48.2763°S 17.9557°V	22,11	1 927	87,16	951 48	500356	NR	+421-37	
Jarovnice	Prešovský kraj	422	49.050000°S 21.066667°V	20,17	5 935	294,25	082 63	524603	SB	+421-51	
Jasenica	Trenčiansky kraj	311	49.179722°S 18.450000°V	7,3	1 067	146,16	018 17	513172	PB	+421-42	
Jasenie	Banskobystrický kraj	507	48.8363°S 19.4578°V	86,29	1 197	13,87	976 75	508705	BR	+421-48	
Jasenov	Prešovský kraj	155	48.9071°S 21.9011°V	13,27	1 197	90,2	066 01 	559547	HE	+421-57	
Jasenov	Košický kraj	174	48.796389°S 22.168889°V	7,21	310	43	072 42 	522538	SO	+421-56	
Jasenová	Žilinský kraj	537	49.1761°S 19.2947°V	11,93	413	34,62	027 01 	509710	DK	+421-43	
Jasenovce	Prešovský kraj	166	48.9948°S 21.7452°V	5,65	226	40	094 05 	528749	VT	+421-57	
Jasenové	Žilinský kraj	450	49.1094°S 18.6401°V	6,27	593	94,58	013 19 	517640	ZA	+421-41	
Jasenovo	Žilinský kraj	520	48.878611°S 18.724444°V	8,34	151	18,11	038 22 	512311	TR	+421-43	
Jaslovské Bohunice	Trnavský kraj	160	48.476111°S 17.645556°V	20,08	2 094	104,28	919 30	507156	TT	+421-33	
Jasov	Košický kraj	263	48.6837°S 20.9733°V	35,42	3 460	97,68	044 23	521493	KS	+421-55	
Jasová	Nitriansky kraj	154-284	47.986111°S 18.399444°V	19,93	1 182	59,31	941 34	503215	NZ	+421 (0)35 6477 ...	
Jastrabá	Banskobystrický kraj	425	48.6331°S 18.9333°V	10,82	544	50,28	967 01 	516881	ZH	+421-45	
Jastrabie nad Topľou	Prešovský kraj	170	48.9401°S 21.6044°V	6,78	451	66,52	094 35 	528757	VT	+421-57	
Jastrabie pri Michalovciach	Košický kraj	104	48.7136°S 22.0295°V	5,74	293	51,05	072 11 	522546	MI	+421-56	
Jatov	Nitriansky kraj	114	48.1327°S 18.0281°V	18,66	783	41,96	941 10 	503223	NZ	+421-35	
Jazernica	Žilinský kraj	449	48.9275°S 18.8316°V	2,92	310	106,16	038 44	512320	TR	+421-43	
Jedlinka	Prešovský kraj	405	49.399167°S 21.369722°V	4,56	87	19,08	086 36 	519308	BJ	+421-54	
Jedľové Kostoľany	Nitriansky kraj	400	48.474722°S 18.493056°V	27,29	913	33,46	951 96	500364	ZM	+421-37	
Jelenec	Nitriansky kraj	192	48.378611°S 18.223611°V	27,18	2 045	75,24	951 73	500372	NR	+421-37	
Jelka	Trnavský kraj	121	48.143056°S 17.502500°V	32,66	3 933	120,42	925 23	503835	GA	+421-31	
Jelšava	Banskobystrický kraj	259	48.625556°S 20.239444°V	46,8	3 189	68,14	049 16	525791	RA	+421-47	
Jelšovce	Nitriansky kraj	145	48.3844°S 18.0587°V	10,44	1 011	96,84	951 43	500381	NR	+421-37	
Jelšovec	Banskobystrický kraj	178	48.2822°S 19.6010°V	8,13	314	38,62	985 32 	511463	LC	+421-47	
Jasenov	Košický kraj	109	48.654167°S 22.208611°V	14,86	458	30,82	072 52	522554	SO	+421-56	
Jesenské	Nitriansky kraj	177	48.1637°S 18.4100°V	3,79	50	13,19	935 36 	556777	LV	+421-36	
Jesenské	Banskobystrický kraj	186	48.3041°S 20.0732°V	17,14	2 240	130,69	980 02	515001	RS	+421-47	
Jestice	Banskobystrický kraj	206	48.2190°S 20.0532°V	7,55	164	21,72	980 04 	515019	RS	+421-47	
Ješkova Ves	Trenčiansky kraj	223	48.5490°S 18.3443°V	10,39	501	48,22	958 45 	556416	PE	+421-38	
Jezersko	Prešovský kraj	770	49.2991°S 20.3354°V	7,76	107	13,79	059 04 	523569	KK	+421-52	
Jovice	Košický kraj	294	48.6317°S 20.5507°V	10,08	756	75	049 45 	560049	RV	+421-58	
Jovsa	Košický kraj	134	48.8192°S 22.0959°V	18,44	805	43,66	072 32	522562	MI	+421-56	
Jur nad Hronom	Nitriansky kraj	146	48.1252°S 18.6272°V	15,19	932	61,36	035 57	502391	LV	+421-36	
Jurkova Voľa	Prešovský kraj	295	49.3218°S 21.5109°V	7,41	85	11,47	089 01 	527351	SK	+421-54	
Jurová	Trnavský kraj	116	47.933333°S 17.523889°V	10,73	504	46,97	930 04 	501671	DS	+421-31	
Jurské	Prešovský kraj	640	49.2027°S 20.5261°V	7,36	1 103	149,86	059 94 	523577	KK	+421-52	
Juskova Voľa	Prešovský kraj	273	48.879167°S 21.565278°V	18,13	327	18,04	094 12 	528765	VT	+421-57	
Kačanov	Košický kraj	98	48.6120°S 21.8457°V	5,78	447	77,34	072 05 	522571	MI	+421-56	
Kajal	Trnavský kraj	117	48.184444°S 17.787222°V	13,82	1 525	110,35	925 92	503843	GA	+421-31	
Kalameny	Žilinský kraj	568	49.1254°S 19.4152°V	8,7	461	52,99	034 82 	510530	RK	+421-44	
Kalinkovo	Bratislavský kraj	129	48.058889°S 17.251944°V	12,91	1 259	97,52	900 43 	507997	SC	+421-2	
Kalinov	Prešovský kraj	453	49.321389°S 21.921667°V	13,78	282	20,46	068 01 	520314	ML	+421-57	
Kalinovo	Banskobystrický kraj	207	48.390278°S 19.708333°V	39,42	2 194	55,66	985 01	511471	PT	+421-47	
Kalná nad Hronom	Nitriansky kraj	160	48.205833°S 18.529167°V	34,13	2 033	59,57	935 32	502413	LV	+421-36	
Kalná Roztoka	Prešovský kraj	300	48.970833°S 22.315000°V	22,79	564	24,75	067 72 	520322	SV	+421-57	
Kálnica	Trenčiansky kraj	223	48.762778°S 17.931111°V	26,4	1 036	39,24	916 37	506109	NM	+421-32	
Kalnište	Prešovský kraj	184	49.1292°S 21.4859°V	8,66	548	63,28	087 01 	519316	SK	+421-54	
Kalonda	Banskobystrický kraj	168	48.2578°S 19.6565°V	8,82	214	24,26	985 31 	511480	LC	+421-47	
Kalša	Košický kraj	202	48.612778°S 21.527222°V	4,63	711	153,56	044 18	521507	KS	+421-55	
Kaloša	Banskobystrický kraj	175	48.4157°S 20.2325°V	15,13	789	52,15	982 52 	515027	RS	+421-47	
Kaluža	Košický kraj	120	48.805556°S 22.002778°V	9,89	373	37,71	072 36	522589	MI	+421-56	
Kaľamenová	Žilinský kraj	495	48.8895°S 18.7761°V	5,79	84	14,51	038 22 	512338	TR	+421-43	
Kaľava	Košický kraj	560	48.9346°S 20.8683°V	4,45	425	95,51	053 42 	543209	SN	+421-53	
Kamanová	Nitriansky kraj	158	48.4698°S 18.1010°V	6,42	605	94,24	956 12 	543039	TO	+421-38	
Kamenec pod Vtáčnikom	Trenčiansky kraj	320	48.672714°S 18.548697°V	25,3	1 800	71,15	972 44	514063	PD	+421-46	
Kamenica	Prešovský kraj	483	49.190833°S 20.961111°V	21,3	1 827	85,77	082 71 	524611	SB	+421-51	
Kamenica nad Cirochou	Prešovský kraj	178	48.933333°S 22.000000°V	17,57	2 386	135,8	067 83	520331	HE	+421-57	
Kamenica nad Hronom	Nitriansky kraj	116	47.830833°S 18.726944°V	18,71	1 357	72,53	943 65	503231	NZ	+421-36	
Kameničany	Trenčiansky kraj	237	48.983333°S 18.166667°V	5,08	541	106,5	018 54 	557404	IL	+421-42	
Kameničná	Nitriansky kraj	110 m	47.8182°S 18.0424°V	34,51	1 971	57,11	946 01	501182	KN	+421-35	
Kamenín	Nitriansky kraj	124	47.8879°S 18.6451°V	28,04	1 500	53,5	943 57	503240	NZ	+421-36	
Kamenná Poruba	Žilinský kraj	484	49.075833°S 18.685556°V	14,18	1 850	130,47	013 14	517658	ZA	+421-41	
Kamenná Poruba	Prešovský kraj	150	48.8469°S 21.6514°V	7,41	1 306	176,25	093 03 	528773	VT	+421-57	
Kamenné Kosihy	Banskobystrický kraj	197	48.1424°S 19.1948°V	5,02	347	69,12	991 27	516082	VK	+421-47	
Kamenný Most	Nitriansky kraj	111	47.853333°S 18.654167°V	20,34	1 047	51,47	943 58	503258	NZ	+421-36	
Kameňany	Banskobystrický kraj	246	48.5762°S 20.1922°V	31,34	816	26,04	049 62	525812	RA	+421-58	
Kamienka	Prešovský kraj	230	48.9066°S 21.9989°V	5,4	536	99,26	067 83 	520349	HE	+421-57	
Kamienka	Prešovský kraj	600	49.3316°S 20.6154°V	29,16	1 379	47,29	065 32	526789	SL	+421-52	
Kanianka	Trenčiansky kraj	330	48.815278°S 18.586389°V	7,94	4 136	520,91	972 17	514071	PD	+421-46	
Kapince	Nitriansky kraj	169	48.4493°S 17.9753°V	5,84	197	33,73	951 24 	500399	NR	+421-37	
Kapišová	Prešovský kraj	259	49.3452°S 21.5955°V	6,62	416	62,84	090 01	527360	SK	+421-54	
Kaplna	Bratislavský kraj	146	48.293056°S 17.456111°V	5,53	716	129,48	900 84 	555495	SC	+421-33	
Kapušany	Prešovský kraj	280	49.0437°S 21.3331°V	11,31	2 163	191,25	082 12	524620	PO	+421-51	
Kapušianske Kľačany	Košický kraj	102	48.5300°S 22.1061°V	20,28	907	44,72	079 01 	528404	MI	+421-56	
Karlová	Žilinský kraj	468	48.9606°S 18.9012°V	1,83	102	55,74	038 15 	512346	MT	+421-43	
Karná	Prešovský kraj	188	48.9858°S 21.8053°V	10,21	449	43,98	067 45 	520357	HE	+421-57	
Kašov	Košický kraj	159	48.4905°S 21.7425°V	8,88	297	33,45	076 02 	528412	TV	+421-56	
Kátlovce	Trnavský kraj	172	48.526667°S 17.609167°V	11,7	1 162	99,32	919 55	507164	TT	+421-33	
Kátov	Trnavský kraj	162	48.832500°S 17.169722°V	4,27	596	139,58	908 49 	504432	SI	+421-34	
Kazimír	Košický kraj	180-280	48.5269°S 21.5841°V	9,93	859	86,51	076 13	528421	TV	+421-56	
Kecerovce	Košický kraj	328	48.8255°S 21.4141°V	13,81	3 223	233,38	044 47	521523	KS	+421-55	
Kecerovský Lipovec	Košický kraj	360	48.8445°S 21.4345°V	15,57	123	7,9	044 47 	521540	KS	+421-55	
Kečkovce	Prešovský kraj	402	49.382694°S 21.511217°V	12,77	243	19,03	090 11 	527378	SK	+421-54	
Kečovo	Košický kraj	332	48.4934°S 20.4842°V	13,58	372	27,39	049 55 	525821	RV	+421-58	
Kechnec	Košický kraj	171	48.549167°S 21.264444°V	10,21	1 158	113,42	044 58 	559687	KS	+421-55	
Kendice	Prešovský kraj	234	48.916667°S 21.233333°V	9,34	1 877	200,96	082 01	524638	PO	+421-51	
Kesovce	Banskobystrický kraj	197	48.3746°S 20.3526°V	7,66	255	33,29	980 45 	515035	RS	+421-47	
Keť	Nitriansky kraj	155	47.9644°S 18.5688°V	19,65	647	32,93	935 64	502472	LV	+421-36	
Kežmarok	Prešovský kraj	626	49.133611°S 20.426389°V	24,83	16 693	672,29	060 01	523585	KK	+421-52	
Kiarov	Banskobystrický kraj	182	48.1090°S 19.4066°V	9	308	34,22	991 06 	516091	VK	+421-47	
Kladzany	Prešovský kraj	130	48.883056°S 21.750000°V	5,36	532	99,25	094 21 	528781	VT	+421-57	
Klasov	Nitriansky kraj	160 – 190	48.2767°S 18.2545°V	12,23	1 306	106,79	951 53	500402	NR	+421-37	
Kláštor pod Znievom	Žilinský kraj	494	48.972222°S 18.808333°V	39,03	1 577	40,4	038 43	512354	MT	+421-43	
Klátova Nová Ves	Trenčiansky kraj	198	48.5636°S 18.3050°V	35,04	1 624	46,35	958 44	543047	PE	+421-38	
Klčov	Prešovský kraj	495	49.003333°S 20.669167°V	7,34	626	85,29	053 02 	543225	LE	+421-53	
Klenov	Prešovský kraj	cca 550	48.9241°S 21.0553°V	15,37	223	14,51	082 44	524646	PO	+421-51	
Klenová	Prešovský kraj	255	48.941389°S 22.333611°V	20,01	532	26,59	067 72	520365	SV	+421-57	
Klenovec	Banskobystrický kraj	358	48.596761°S 19.891044°V	100	3 229	32,29	980 55	515043	RS	+421-47	
Kleňany	Banskobystrický kraj	216	48.1180°S 19.0721°V	7,21	283	39,25	991 10 	516104	VK	+421-47	
Klieština	Trenčiansky kraj	380	49.1833°S 18.3570°V	5,31	337	63,47	018 02 	557552	PB	+421-42	
Klin	Žilinský kraj	640	49.4405°S 19.4833°V	12,74	2 307	181,08	029 41	509728	NO	+421-43	
Klin nad Bodrogom	Košický kraj	97	48.384167°S 21.724444°V	3,65	212	58,08	076 31 	513831	TV	+421-56	
Klížska Nemá	Nitriansky kraj	111	47.7521°S 17.8200°V	11,95	497	41,59	946 19 	501191	KN	+421-35	
Klokoč	Banskobystrický kraj	550	48.5028°S 19.3389°V	9,84	502	51,02	962 25 	518492	DT	+421-45	
Klokočov	Žilinský kraj	556	49.4518°S 18.5711°V	51,17	2 310	45,14	023 22	509213	CA	+421-41	
Klokočov	Košický kraj	138	48.8119°S 22.0289°V	11,94	413	34,59	072 36 	522597	MI	+421-56	
Klubina	Žilinský kraj	455	49.357500°S 18.892778°V	15,57	541	34,75	023 04 	509221	CA	+421-41	
Kluknava	Košický kraj	356	48.9237°S 20.9404°V	33,95	1 596	47,01	053 51	543233	GL	+421-53	
Kľačany	Trnavský kraj	170	48.388611°S 17.873611°V	10,11	1 045	103,36	920 64	507172	HC	+421-33	
Kľače	Žilinský kraj	420	49.1072°S 18.6467°V	2,07	387	186,96	013 19	557994	ZA	+421-41	
Kľačno	Trenčiansky kraj	395	48.9128°S 18.6588°V	48,7	1 109	22,77	972 15	514080	PD	+421-46	
Kľak	Banskobystrický kraj	650	48.584722°S 18.642222°V	22,81	232	10,17	966 77 	516902	ZC	+421-45	
Kľúčovec (	Trnavský kraj	110	47.794444°S 17.716667°V	12,71	373	29,35	930 07 	501689	DS	+421-31	
Kľušov	Prešovský kraj	317	49.2481°S 21.2581°V	15,37	1 077	70,07	086 22	519324	BJ	+421-54	
Kmeťovo	Nitriansky kraj	134	48.166667°S 18.277222°V	5,2	878	168,85	941 62	503266	NZ	+421-35	
Kobeliarovo	Košický kraj	461	48.7440°S 20.3725°V	12,03	457	37,99	049 23 	525839	RV	+421-58	
Kobylnice	Prešovský kraj	209	49.0916°S 21.5425°V	10,42	99	9,5	087 01 	519332	SK	+421-54	
Kobyly	Prešovský kraj	370	49.2135°S 21.2968°V	12,46	863	69,26	086 22 	519341	BJ	+421-54	
Koceľovce	Košický kraj	345	48.710030°S 20.342890°V	6,96	254	36,49	049 35 	525847	RV	+421-58	
Kociha	Banskobystrický kraj	248	48.4790°S 19.9444°V	11,41	213	18,67	980 52 	515051	RS	+421-47	
Kocurany	Trenčiansky kraj	300	48.7714°S 18.5431°V	4,17	504	120,86	972 02 	514098	PD	+421-46	
Kočín-Lančár	Trnavský kraj	207	48.599167°S 17.659722°V	13,12	521	39,71	922 04 	507199	PN	+421-33	
Kočovce	Trenčiansky kraj	183	48.750000°S 17.883333°V	15,32	1 484	96,87	916 31	506125	NM	+421-32	
Kochanovce	Prešovský kraj	241	49.1902°S 21.3888°V	5,53	256	46,29	086 46 	519359	BJ	+421-54	
Kochanovce	Prešovský kraj	157	48.9532°S 21.9427°V	5,02	785	156,37	066 01 	520373	HE	+421-57	
Kojatice	Prešovský kraj	340	49.000000°S 21.133333°V	10,69	1 079	100,94	082 32 	524654	PO	+421-51	
Kojšov	Košický kraj	471	48.831667°S 20.993333°V	31,8	711	22,36	055 52	543241	GL	+421-53	
Kokava nad Rimavicou	Banskobystrický kraj	329	48.5703°S 19.8415°V	66,27	2 981	44,98	985 05	511498	PT	+421-47	
Kokošovce	Prešovský kraj	424	48.9448°S 21.3358°V	11,31	767	67,82	082 52	524662	PO	+421-51	
Kokšov-Bakša	Košický kraj	190	48.647272°S 21.324693°V	3,57	1 155	323,53	044 13 	521558	KS	+421-55	
Kolačkov	Prešovský kraj	758	49.266667°S 20.616667°V	17,42	1 274	73,13	065 11 	526797	SL	+421-52	
Kolačno	Trenčiansky kraj	238	48.5925°S 18.4255°V	21,31	870	40,83	958 41 	543055	PE	+421-38	
Koláre	Banskobystrický kraj	145	48.0695°S 19.2464°V	5,31	262	49,34	991 09 	516112	VK	+421-47	
Kolárovice	Žilinský kraj	390	49.272936°S 18.532783°V	27,54	1 839	66,78	013 54	517674	BY	+421-41	
Kolárovo	Nitriansky kraj	111	47.916944°S 17.995556°V	106,82	10 665	99,84	946 03	501204	KN	+421-35	
Kolbasov	Prešovský kraj	312	49.006389°S 22.381944°V	15,97	89	5,57	067 66	520381	SV	+421-57	
Kolbovce	Prešovský kraj	211	49.1636°S 21.7263°V	9,43	198	21	090 31	527386	SP	(054)	
Kolibabovce	Košický kraj	175	48.719722°S 22.257778°V	3,83	182	47,52	072 61 	522601	SO	+421-56	
Kolinovce	Košický kraj	389	48.9278°S 20.8549°V	4,68	573	122,44	053 42 	543250	SN	+421-53	
Kolíňany	Nitriansky kraj	199	48.3593°S 18.1912°V	12,5	1 583	126,64	951 78	500411	NR	+421-37	
Kolonica	Prešovský kraj	360	48.956667°S 22.258333°V	27,18	590	21,71	067 61 	520390	SV	+421-57	
Kolta	Nitriansky kraj	172	48.0171°S 18.4134°V	25,85	1 361	52,65	941 33	503274	NZ	+421-35	
Komárany	Prešovský kraj	135	48.9210°S 21.6372°V	4,75	483	101,68	093 01 	528790	VT	+421-57	
Komárno	Nitriansky kraj	112	47.763333°S 18.128333°V	103,17	34 561	334,99	945 01	501026	KN	+421-35	
Komárov	Prešovský kraj	240	49.2819°S 21.3511°V	7,99	425	53,19	086 11 	519367	BJ	+421-54	
Komárovce	Košický kraj	205	48.5745°S 21.1211°V	8,5	387	45,53	044 55 	521566	KS	+421-55	
Komjatice	Nitriansky kraj	128	48.150000°S 18.183333°V	30,76	4 297	139,69	941 06	503282	NZ	035 (+42135)	
Komjatná	Žilinský kraj	634	49.146389°S 19.243889°V	14,54	1 518	104,4	034 96 	510548	RK	+421-44	
Komoča	Nitriansky kraj	109	47.9489°S 18.0224°V	13,48	934	69,29	941 21	503291	NZ	+421-35	
Koniarovce	Nitriansky kraj	156	48.430278°S 18.093333°V	3,6	640	177,78	956 13	543063	TO	+421-38	
Konrádovce	Banskobystrický kraj	231	48.2993°S 19.9047°V	7,93	344	43,38	980 32 	515060	RS	+421-47	
Konská	Žilinský kraj	755	49.118333°S 19.716667°V	11,81	215	18,2	032 04 	507393	LM	+421-44	
Konská	Žilinský kraj	455	49.1190°S 18.7173°V	5,31	1 478	278,34	013 13 	517682	ZA	+421-41	
Koňuš	Košický kraj	272	48.775278°S 22.266944°V	23,23	358	15,41	072 63 	522627	SO	+421-56	
Kopčany	Trnavský kraj	158 - 230	48.783333°S 17.116667°V	21,81	2 572	117,93	908 48	504459	SI	+421-34	
Kopernica	Banskobystrický kraj	504	48.6857°S 18.8741°V	17,57	422	24,02	967 01 	516937	ZH	+421-45	
Koplotovce	Trnavský kraj	165	48.474444°S 17.808333°V	5,8	746	128,62	920 01 	507202	HC	+421-33	
Koprivnica	Prešovský kraj	223	49.157500°S 21.396111°V	14,16	685	48,38	086 43 	519375	BJ	+421-54	
Kordíky	Banskobystrický kraj	845	48.773056°S 19.025000°V	9,97	405	40,62	976 34 	508713	BB	+421-48	
Korejovce	Prešovský kraj	333	49.3782°S 21.6431°V	4,06	67	16,5	090 05 	527394	SK	+421-54	
Korňa	Žilinský kraj	565	49.414167°S 18.552222°V	25,33	2 090	82,51	023 21	509230	CA	+421-41	
Koromľa	Košický kraj	280	48.715833°S 22.293889°V	13,04	446	34,2	072 62	522643	SO	+421-56	
Korunková	Prešovský kraj	263	49.1993°S 21.7468°V	11,21	84	7,49	090 31 	527408	SP	+421-54	
Korytárky	Banskobystrický kraj	440	48.5469°S 19.4713°V	9,04	964	106,64	962 04 	580520	DT	+421-45	
Korytné	Prešovský kraj	509	49.0077°S 20.8368°V	4,38	93	21,23	053 05 	581640	LE	+421-53	
Kosihovce	Banskobystrický kraj	269	48.181944°S 19.202222°V	20,69	581	28,08	991 25 	516121	VK	+421-47	
Kosihy nad Ipľom	Banskobystrický kraj	138	48.0769°S 19.1742°V	6,83	443	64,86	991 11 	516139	VK	+421-47	
Kosorín	Banskobystrický kraj	366	48.6499°S 18.8066°V	12,75	428	33,57	966 24 	516945	ZH	+421-45	
